foerderungsnehmer;sendername;gefoerdertes_objekt;foerderungsart;kategorie;zugesagte_foerderung;jahr;antragstermin
"4M Digital Media OG";"RE eins";Huamatgfühl;"Inhalte- und Projektförderung TV";TV;"2288.00";2017;"2"
"4M Digital Media OG";"RE | eins";"Runtergschaut aufs Außerfern";"Inhalte- und Projektförderung TV";TV;"9570.00";2017;"1"
"4M Digital Media OG";"RE eins";Dorfgespräche;"Inhalte- und Projektförderung TV";TV;"3058.00";2017;"2"
"4M Digital Media OG";"RE | eins";"RE | Aktuell";"Inhalte- und Projektförderung TV";TV;"40000.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";"oe24.TV Polit-Talk";"Inhalte- und Projektförderung TV";TV;"310000.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";Sprechtraining;"Ausbildungsförderung TV";TV;"7350.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";"oe24.TV Abendnachrichten";"Inhalte- und Projektförderung TV";TV;"310000.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";"oe24.TV News";"Inhalte- und Projektförderung TV";TV;"370000.00";2017;"1"
"A. Digital Errichtungs- und Beteiligungs GmbH";"OE24TV";"Reichweitenerhebung und Marktpositionierung oe24.TV";"Reichweitenerhebungs- und Qualitätsstudienförderung TV";TV;"21000.00";2017;"1"
"Alpenfunk GmbH";"Radio Lounge FM Salzburg";"Pauschaliert - Der Social Media User als Kunde. HörerInnen-Relations in Zeiten von Web 2.0";"Ausbildungsförderung HF";HF;"5000.00";2017;"1"
"Alpenfunk GmbH";"Radio Lounge FM Salzburg";"Lokalnachrichten Salzburg";"Inhalte- und Projektförderung HF";HF;"24090.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Radio Ö24 Morgenshow";"Inhalte- und Projektförderung HF";HF;"38898.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";"Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"110720.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Der erfolgreiche Verkauf von Radiowerbung";"Ausbildungsförderung HF";HF;"4340.00";2017;"2"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Tirol";"Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"11975.04";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24 Bregenz und Dornbirn";"Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"25447.40";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Radio Ö24 - Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"110806.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";"Antenne Salzburg Morgenshow";"Inhalte- und Projektförderung HF";HF;"55535.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Sprech- und News-Training";"Ausbildungsförderung HF";HF;"5250.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";"Programmschulung und Workshop Redaktion";"Ausbildungsförderung HF";HF;"2065.00";2017;"2"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24 Aichfeld-Oberes Murtal";"Radiotest Aufstockungskosten - Radio Ö24 Steiermark";"Reichweitenerhebungs- und Qualitätsstudienförderung HF";HF;"1944.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";"Faszination Verkauf - Der erfolgreiche Verkauf";"Ausbildungsförderung HF";HF;"10066.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Radio Ö24 Österreich Show";"Inhalte- und Projektförderung HF";HF;"9323.00";2017;"2"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24";"Lehrredaktion - Die Österreich Medienakademie";"Ausbildungsförderung HF";HF;"6370.00";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Radio Ö24 Aichfeld-Oberes Murtal";"Aktuelle Berichterstattung";"Inhalte- und Projektförderung HF";HF;"31028.25";2017;"1"
"Antenne ""Österreich"" und Medieninnovationen GmbH";"Antenne Salzburg";Sprechtraining;"Ausbildungsförderung HF";HF;"4673.93";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Social Media als Recherchetool";"Ausbildungsförderung HF";HF;"661.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Das perfekte Wochenende inkl. Sunrise";"Inhalte- und Projektförderung HF";HF;"19962.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Themenmanagement in den Regionalnachrichten";"Ausbildungsförderung HF";HF;"840.00";2017;"2"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Kärntens bestgelaunte Morgenshow";"Inhalte- und Projektförderung HF";HF;"81429.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Aufbaukurs Videoseminar";"Ausbildungsförderung HF";HF;"472.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Morgenshowseminar;"Ausbildungsförderung HF";HF;"2800.00";2017;"2"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Nachrichten;"Inhalte- und Projektförderung HF";HF;"15684.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Moderationsworkshop;"Ausbildungsförderung HF";HF;"1120.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"Atem- und Sprechtechnik";"Ausbildungsförderung HF";HF;"2520.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Drivetime;"Inhalte- und Projektförderung HF";HF;"46868.00";2017;"1"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";Nachrichten;"Inhalte- und Projektförderung HF";HF;"17548.00";2017;"2"
"Antenne Kärnten Regionalradio GmbH & Co KG";"Antenne Kärnten";"On-Air Strategie und On-Air Marketing";"Ausbildungsförderung HF";HF;"7280.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Projektmanagement;"Ausbildungsförderung HF";HF;"1750.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Nachrichten;"Inhalte- und Projektförderung HF";HF;"19667.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"On-Air Strategie und On-Air Marketing";"Ausbildungsförderung HF";HF;"7280.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Social Media als Recherchetool";"Ausbildungsförderung HF";HF;"661.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Punktgenau texten - zielsicher formulieren";"Ausbildungsförderung HF";HF;"315.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Muntermacher;"Inhalte- und Projektförderung HF";HF;"93096.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Morgenshowseminar;"Ausbildungsförderung HF";HF;"2800.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Lemmerer am Samstag";"Inhalte- und Projektförderung HF";HF;"19327.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Themenmanagement in den Regionalnachrichten";"Ausbildungsförderung HF";HF;"1260.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Rotationsoptimierung;"Ausbildungsförderung HF";HF;"1050.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Moderationsworkshop;"Ausbildungsförderung HF";HF;"1120.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Nachrichten;"Inhalte- und Projektförderung HF";HF;"34722.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Ausbildung zur Sicherheitsvertrauensperson";"Ausbildungsförderung HF";HF;"245.00";2017;"2"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";Drivetime;"Inhalte- und Projektförderung HF";HF;"42611.00";2017;"1"
"Antenne Steiermark Regionalradio GmbH & Co KG";"Antenne Steiermark";"Aufbaukurs Videoseminar";"Ausbildungsförderung HF";HF;"472.00";2017;"1"
"ATV Aichfeld Film- und Videoproduktion GmbH";"ATV Aichfeld";"Zu Gast bei ATV";"Inhalte- und Projektförderung TV";TV;"5547.00";2017;"2"
"ATV Aichfeld Film- und Videoproduktion GmbH";"ATV Aichfeld";"Trachten der Regionen";"Inhalte- und Projektförderung TV";TV;"8000.00";2017;"2"
"ATV Aichfeld Film- und Videoproduktion GmbH";"ATV Aichfeld";"Kunst und Kultur im Murtal";"Inhalte- und Projektförderung TV";TV;"3666.00";2017;"2"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";"Personal- und Bildungscontrolling";"Ausbildungsförderung TV";TV;"558.00";2017;"2"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";"Teambuilding / Mitarbeiterführung";"Ausbildungsförderung TV";TV;"1282.00";2017;"1"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";Highlights;"Inhalte- und Projektförderung TV";TV;"70000.00";2017;"1"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";"ATV Aktuell";"Inhalte- und Projektförderung TV";TV;"1000000.00";2017;"1"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";"Klartext - mit Martin Thür";"Inhalte- und Projektförderung TV";TV;"62000.00";2017;"1"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";"ATV - Meine Wahl";"Inhalte- und Projektförderung TV";TV;"122331.00";2017;"2"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";"24 Stunden - Die Kriminalpolizei";"Inhalte- und Projektförderung TV";TV;"55676.00";2017;"2"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";"Die Flugretter";"Inhalte- und Projektförderung TV";TV;"50000.00";2017;"1"
"ATV Privat TV GmbH & Co KG";"ATV & ATV2";"ATV2 Aktuell";"Inhalte- und Projektförderung TV";TV;"320000.00";2017;"1"
"Außerferner Medien Gesellschaft m.b.H.";"Welle 1 Außerfern";"Moderieren-Aber richtig";"Ausbildungsförderung HF";HF;"2977.80";2017;"1"
"Außerferner Medien Gesellschaft m.b.H.";"Welle 1 Außerfern";Weltnachrichten;"Inhalte- und Projektförderung HF";HF;"46464.00";2017;"1"
"Außerferner Medien Gesellschaft m.b.H.";"Welle 1 Außerfern";"Musikformatierung im Spannungsverhältnis von Mainstream und Nische";"Ausbildungsförderung HF";HF;"4375.00";2017;"1"
"Bad Kleinkirchheimer Sat-Kabelfernsehen GmbH";"Kult1";"Kult1 Wochenprogramm";"Inhalte- und Projektförderung TV";TV;"40480.00";2017;"1"
"Bezirks TV St.Veit Produktions- und Vertriebs.ges.m.b.H.";"BTV-Kärnten";"BTV Kärnten Wochenmagazin";"Inhalte- und Projektförderung TV";TV;"50000.00";2017;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Grieskirchen";"Wochenprogramm Hausruckviertel";"Inhalte- und Projektförderung TV";TV;"45000.00";2017;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Linz";"Wochenprogramm Linz";"Inhalte- und Projektförderung TV";TV;"30000.00";2017;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Salzkammergut";"Wochenprogramm Salzkammergut";"Inhalte- und Projektförderung TV";TV;"60000.00";2017;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Vöcklabruck";"Best of OÖ";"Inhalte- und Projektförderung TV";TV;"20000.00";2017;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Innviertel";"Wochenprogramm Innviertel";"Inhalte- und Projektförderung TV";TV;"33000.00";2017;"1"
"Bezirks TV Vöcklabruck GmbH";"BTV Vöcklabruck";"Wochenprogramm Vöcklabruck";"Inhalte- und Projektförderung TV";TV;"85000.00";2017;"1"
"Bohmann Druck- und Verlag - Gesellschaft m.b.H. & Co. KG.";"schau tv";"schau Aktuell";"Inhalte- und Projektförderung TV";TV;"150000.00";2017;"1"
"Bohmann Druck- und Verlag - Gesellschaft m.b.H. & Co. KG.";"schau tv";"Burgenländische Gemeinderatswahlen 2017";"Inhalte- und Projektförderung TV";TV;"50000.00";2017;"1"
"Dr. Rainer Hilbrand (Ausseer Regionalfernsehen)";ARF;"Schulungsmaßnahmen 2017";"Ausbildungsförderung TV";TV;"10000.00";2017;"1"
"Dr. Rainer Hilbrand (Ausseer Regionalfernsehen)";ARF;"Ausseer Regionalfernsehen";"Inhalte- und Projektförderung TV";TV;"47575.00";2017;"1"
"Dr. Rainer Hilbrand (Ausseer Regionalfernsehen)";ARF;"Salzkammergut Magazin";"Inhalte- und Projektförderung TV";TV;"4537.00";2017;"1"
"Elektrizitätswerke Frastanz Gesellschaft m.b.H.";"Dreischwestern TV";"Dreischwestern TV - Frastanz aktuell";"Inhalte- und Projektförderung TV";TV;"15642.00";2017;"1"
"Entspannungsfunk Gesellschaft mbH";"Radio Lounge FM Klagenfurt";"Lokalnachrichten Kärnten";"Inhalte- und Projektförderung HF";HF;"24090.00";2017;"1"
"Entspannungsfunk Gesellschaft mbH";"Radio Lounge FM Oberösterreich Mitte";Sunrise;"Inhalte- und Projektförderung HF";HF;"14069.00";2017;"2"
"Entspannungsfunk Gesellschaft mbH";"Radio Lounge FM Oberösterreich Mitte";"Mobilitätsnews OÖ";"Inhalte- und Projektförderung HF";HF;"19272.00";2017;"1"
"Entspannungsfunk Gesellschaft mbH";"Radio Lounge FM Oberösterreich Mitte";"Lokalnachrichten OÖ";"Inhalte- und Projektförderung HF";HF;"18067.00";2017;"1"
"Entspannungsfunk Gesellschaft mbH";"Radio Lounge FM Klagenfurt";"Pauschalförderung - (Branded Storytelling Praxisworkshop)";"Ausbildungsförderung HF";HF;"10000.00";2017;"1"
"Entspannungsfunk Gesellschaft mbH";"Radio Lounge FM Oberösterreich Mitte";"Pauschalierung - Coaching Redaktion Crossmedia";"Ausbildungsförderung HF";HF;"10000.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Unser täglich Brot: Geistliche Nahrung für die Seele";"Inhalte- und Projektförderung HF";HF;"1027.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"NOW Radio: #input";"Inhalte- und Projektförderung HF";HF;"1414.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Sprechen / Schreiben Akademie";"Ausbildungsförderung HF";HF;"2184.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Bundesländer News Steiermark";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"#Morniiing!";"Inhalte- und Projektförderung HF";HF;"9202.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Basis Intensivkurs";"Ausbildungsförderung HF";HF;"224.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Business Talk";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Alles, was Recht ist";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"#Weekly";"Inhalte- und Projektförderung HF";HF;"1414.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Tontechnik Ausbildung";"Ausbildungsförderung HF";HF;"504.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"Basis Intensivkurs";"Ausbildungsförderung HF";HF;"224.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Humor, nein danke!";"Inhalte- und Projektförderung HF";HF;"969.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"#LIVE";"Inhalte- und Projektförderung HF";HF;"2103.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Kids";"Inhalte- und Projektförderung HF";HF;"5851.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Spirit News";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Lebensgeschichten";"Inhalte- und Projektförderung HF";HF;"969.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Atem & Stimme";"Ausbildungsförderung HF";HF;"308.00";2017;"2"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Mundart & Lieder";"Inhalte- und Projektförderung HF";HF;"969.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"Journalismus & Radionachrichten";"Ausbildungsförderung HF";HF;"756.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"#OMG";"Inhalte- und Projektförderung HF";HF;"1131.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Drivetime!";"Inhalte- und Projektförderung HF";HF;"9202.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Literatur on Tour";"Inhalte- und Projektförderung HF";HF;"969.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Journalismus & Radionachrichten";"Ausbildungsförderung HF";HF;"1512.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Glaube und Wissenschaft";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"NOW Radio: Wetter";"Inhalte- und Projektförderung HF";HF;"1560.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Bundesländer News Oberösterreich";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Cinema Sounds";"Inhalte- und Projektförderung HF";HF;"3875.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"LIVE ON AIR";"Ausbildungsförderung HF";HF;"1008.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"#Soundtrack";"Inhalte- und Projektförderung HF";HF;"1556.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";Sprechtechnik;"Ausbildungsförderung HF";HF;"756.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"Hörbuch und Synchronsprecher Basic";"Ausbildungsförderung HF";HF;"336.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"#news";"Inhalte- und Projektförderung HF";HF;"8791.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Na, Mahlzeit!";"Inhalte- und Projektförderung HF";HF;"4000.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"Präsentationstechnik I";"Ausbildungsförderung HF";HF;"273.00";2017;"2"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Gesellschaft heute";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Engagement heute";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Hörbuch und Synchronsprecher Basic";"Ausbildungsförderung HF";HF;"672.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Potpourri";"Inhalte- und Projektförderung HF";HF;"1453.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"#call-us";"Inhalte- und Projektförderung HF";HF;"308.00";2017;"1"
"ERF Medien Österreich GmbH";"ERF Plus Österreich";"ERF Plus Österreich: Wiener Melange";"Inhalte- und Projektförderung HF";HF;"1937.00";2017;"1"
"ERF Medien Österreich GmbH";"NOW Radio";"Rhetorik Kurs Wien: Ihr Auftritt";"Ausbildungsförderung HF";HF;"336.00";2017;"2"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";"Art-Beat";"Inhalte- und Projektförderung HF";HF;"4130.34";2017;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";Kulturcollage;"Inhalte- und Projektförderung HF";HF;"3929.33";2017;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";Wissenschaftsradio;"Inhalte- und Projektförderung HF";HF;"5112.20";2017;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";Tonwerkstatt;"Inhalte- und Projektförderung HF";HF;"4742.37";2017;"1"
"FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH";"Radio NJOY 91.3";"Campus Leben";"Inhalte- und Projektförderung HF";HF;"4981.08";2017;"1"
"Forum Journalismus TV/Radio";"FJUM TV/Radio";"Info-Sessions für TV/Radio-JournalistInnen: Österreichs Außenpolitik und außenpolitische Berichterstattung (in deutscher und englischer Sprache)";"Ausbildungsförderung HF";HF;"7441.00";2017;"1"
"Forum Journalismus TV/Radio";"FJUM TV/Radio";"Zertifikatskurs Politik/Journalismus";"Ausbildungsförderung HF";HF;"15960.00";2017;"1"
"Forum Journalismus TV/Radio";"FJUM TV/Radio";"Zertifikatskurs Digitaljournalismus TV/Radio";"Ausbildungsförderung HF";HF;"50348.00";2017;"1"
"Gerhard Scott";"Ennstal TV";"Ennstal TV Wochenmagazin";"Inhalte- und Projektförderung TV";TV;"67100.00";2017;"1"
"Gerhard Scott";"Ennstal TV";""" Der Generationentisch """;"Inhalte- und Projektförderung TV";TV;"12375.00";2017;"1"
"gotv Fernseh GmbH";gotv;"Hosted by Local Hero";"Inhalte- und Projektförderung TV";TV;"56958.00";2017;"1"
"gotv Fernseh GmbH";gotv;"Resident Host";"Inhalte- und Projektförderung TV";TV;"32010.00";2017;"1"
"HT1 Medien GmbH";"HT1 Regional TV";"Ausbildungen 1. Halbjahr 2017";"Ausbildungsförderung TV";TV;"1690.00";2017;"1"
"HT1 Medien GmbH";"HT1 Hausruck";"HT1 Information";"Inhalte- und Projektförderung TV";TV;"28875.00";2017;"1"
"HT1 Medien GmbH";"HT1 Hausruck";"Regional Spezial Hausruck";"Inhalte- und Projektförderung TV";TV;"6146.00";2017;"1"
"HT1 Medien GmbH";"HT1 Innviertel";"Regional Spezial";"Inhalte- und Projektförderung TV";TV;"6146.00";2017;"1"
"HT1 Medien GmbH";"HT1 Innviertel";"HT1 Information";"Inhalte- und Projektförderung TV";TV;"28875.00";2017;"1"
"Image Line Medienproduktion GmbH";"INFO TV Regionalfernsehen";"INFO TV Regionalfernsehen";"Inhalte- und Projektförderung TV";TV;"25000.00";2017;"1"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"WIFI WIEN";"Ausbildungsförderung TV";TV;"1281.00";2017;"1"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"""Die Stimme"" - Dorit Wilhelm";"Ausbildungsförderung TV";TV;"3066.00";2017;"2"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"RTV Vorarlberg Aktuell";"Inhalte- und Projektförderung TV";TV;"57575.00";2017;"1"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"Bekanntheit- und Reichweitenmessung";"Reichweitenerhebungs- und Qualitätsstudienförderung TV";TV;"5000.00";2017;"2"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"RTV Kulturkapsel";"Inhalte- und Projektförderung TV";TV;"21120.00";2017;"1"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"EB zürich";"Ausbildungsförderung TV";TV;"902.00";2017;"2"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"RTV Vorarlberg Magazin";"Inhalte- und Projektförderung TV";TV;"66764.00";2017;"1"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";"Moderatorenschule Baden-Württemberg";"Ausbildungsförderung TV";TV;"1925.00";2017;"2"
"Kabel TV Lampert GmbH & Co KG";"RTV Vorarlberg";Stimmtraining;"Ausbildungsförderung TV";TV;"817.00";2017;"1"
"kanal3 Regionalfernseh GmbH";"kanal3 - das steirische Fernsehen";"Schulungen 2017";"Ausbildungsförderung TV";TV;"3850.00";2017;"1"
"kanal3 Regionalfernseh GmbH";"kanal3 - das steirische Fernsehen";"kanal3-obersteiermark";"Inhalte- und Projektförderung TV";TV;"74690.00";2017;"1"
"kanal3 Regionalfernseh GmbH";"kanal3 - das steirische Fernsehen";"kanal3-steiermark";"Inhalte- und Projektförderung TV";TV;"123090.00";2017;"1"
"Kapfer Kunsthandel und Filmproduktion Ges. mbH";KremstalDirekt;"Kremstal Direkt Einblick Regional";"Inhalte- und Projektförderung TV";TV;"21741.00";2017;"1"
"Kapfer Kunsthandel und Filmproduktion Ges. mbH";KremstalDirekt;"Zeit für die Sonne und das Leben";"Inhalte- und Projektförderung TV";TV;"5632.00";2017;"1"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";Qualitätsstudie;"Reichweitenerhebungs- und Qualitätsstudienförderung HF";HF;"5475.00";2017;"1"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";"Musik - Spezialsendungen mit Aktualitätsbezug";"Inhalte- und Projektförderung HF";HF;"14811.00";2017;"1"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";"Perspektiven, Lebenswege, Passionswege, Kurzbeiträge etc.";"Inhalte- und Projektförderung HF";HF;"117347.00";2017;"1"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";"Aufnahmen, Übertragungen und Produktionen";"Inhalte- und Projektförderung HF";HF;"13762.00";2017;"1"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";"tägliche Weltnachrichten";"Inhalte- und Projektförderung HF";HF;"15000.00";2017;"1"
"Kirchliche Stiftung Radio Stephansdom";"radio klassik Stephansdom";"Sprech- und Stimmtraining";"Ausbildungsförderung HF";HF;"2625.00";2017;"2"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"Training Strategie/Produktion Bounce";"Ausbildungsförderung HF";HF;"9660.00";2017;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"Training Moderation/Strategie Pfaff";"Ausbildungsförderung HF";HF;"4740.00";2017;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"Guten Morgen Österreich";"Inhalte- und Projektförderung HF";HF;"66000.00";2017;"1"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"AUSTRIA MUSIC TEST 2017";"Reichweitenerhebungs- und Qualitätsstudienförderung HF";HF;"11125.00";2017;"2"
"KRONEHIT Radio BetriebsgmbH.";KRONEHIT;"KRONEHIT Newsbeat";"Inhalte- und Projektförderung HF";HF;"113000.00";2017;"1"
